No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Jumps,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,,,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,Unibet,Bet Goodwin,Bet Victor,10 Bet
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,6,Glamis Road,3,Jack Kearney,Ollie Sangster,2,129,9,,9,8.5,8.5,8.5,8.5,8.5,8.5,8.5,8.5,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,7,Easy Mover,3,Gavin Ryan,A P O'Brien,3,126,11,,11,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,8,Fiery Lucy,3,Robert Whearty,Gavin Cromwell,12,126,2.5,,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,9,Fingerpaint,3,Chris Hayes,D K Weld,7,126,4.8,,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.5,4.8,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,10,Kodilicious,3,Nathan Crosse,Mrs John Harrington,14,126,51,,41,51,51,51,51,51,51,51,51,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,11,Mojave River,3,Mikey Sheehy,Joseph Patrick O'Brien,5,126,17,,17,15,15,15,15,15,15,15,15,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,12,Murkala,3,Ben Coen,J P Murtagh,6,126,13,,13,10,10,10,10,10,10,10,10,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,13,Shiota,3,J M Sheridan,Joseph G Murphy,9,126,23,,21,23,23,23,23,23,23,23,23,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,14,Sweet Chariot,3,Ronan Whelan,A P O'Brien,10,126,34,,34,34,34,34,34,34,34,34,34,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,15,Tamam Desert,3,Seamie Heffernan,E J O'Neill,4,126,67,,41,67,67,67,67,67,67,67,67,SP
,Galway,15:20,Arthur Guinness Irish EBF Corrib Fillies Stakes (Listed Race) (Fillies & Mares),Class 1,7,30975,Soft,Turf,,16,R16,Germanese,4,,W McCreery,1,133,34,,15,34,34,34,34,34,34,34,SP,SP
,Galway,15:55,Guinness Irish EBF Nursery Handicap,,7,10620,Soft,Turf,,7,1,Gavoo,2,Luke McAteer,David Marnane,4,143,3.25,,3.25,3.25,3.25,3.25,3.25,3.25,3.25,SP,3.25,SP
,Galway,15:55,Guinness Irish EBF Nursery Handicap,,7,10620,Soft,Turf,,7,2,Invincible Will,2,Robert Whearty(3),Gavin Cromwell,3,131,7.5,,6.5,7.5,7.5,7.5,7.5,7.5,7.5,SP,7.5,SP
,Galway,15:55,Guinness Irish EBF Nursery Handicap,,7,10620,Soft,Turf,,7,3,Which Wolf Wins,2,Dylan Browne McMonagle,Joseph Patrick O'Brien,1,130,4,,4,3.75,3.75,3.75,3.75,3.75,3.5,SP,3.75,SP
,Galway,15:55,Guinness Irish EBF Nursery Handicap,,7,10620,Soft,Turf,,7,4,Nakamura,2,Ben Coen,J P Murtagh,7,129,6,,6,5.5,5.5,5.5,5.5,5.5,5.5,SP,6,SP
,Galway,15:55,Guinness Irish EBF Nursery Handicap,,7,10620,Soft,Turf,,7,5,Elora Prince,2,Gavin Ryan,Kieran P Cotter,6,128,34,,23,29,29,29,29,29,26,SP,34,SP
,Galway,15:55,Guinness Irish EBF Nursery Handicap,,7,10620,Soft,Turf,,7,6,Glamazon,2,Keithen Kennedy(5),Mrs John Harrington,5,126,4.33,,4.33,3.5,3.5,3.5,3.5,3.5,3.5,SP,3.75,SP
,Galway,15:55,Guinness Irish EBF Nursery Handicap,,7,10620,Soft,Turf,,7,7,Sara La Belle,2,Adam Caffrey,Adrian McGuinness,2,126,26,,26,19,19,21,19,19,19,SP,21,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,1,Winter Fog,11,Brian Hayes,W P Mullins,0,166,41,,29,41,29,29,29,29,29,29,29,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,2,Gaucher,6,Sean O'Keeffe,W P Mullins,0,165,15,,12,15,13,13,13,13,13,13,13,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,3,Jesse Evans,9,Mr D McGill(7),Noel Meade,0,164,12,,-,12,-,11,-,-,11,11,SP,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,4,Enniskerry,11,Sean Flanagan,Barry Connell,0,161,13,,12,13,12,12,12,12,12,12,12,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,5,Ndaawi,5,Jack Kennedy,Gordon Elliott,0,161,6.5,,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,6.5,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,6,Sunchart,8,Cian Quirke,Andrew Slattery,0,160,26,,23,26,21,21,21,21,21,21,21,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,7,Mr Percy,5,J J Slevin,Joseph Patrick O'Brien,0,156,8,,7.5,8,7.5,7.5,7.5,7.5,6.5,7.5,7.5,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,8,Batman Girac,5,Danny Mullins,W P Mullins,0,154,34,,21,34,29,29,29,29,29,29,29,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,9,Casheldale Lad,5,Mr J H Williamson(7),Gordon Elliott,0,154,15,,15,15,12,13,12,12,12,12,12,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,10,Tounsivator,6,Harry Cobden,W P Mullins,0,154,17,,17,12,11,15,11,11,12,11,11,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,11,Dysart Enos,7,Jonathan Burke,Fergal O'Brien,0,153,13,,13,11,11,11,11,11,11,11,11,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,12,Puturhandstogether,4,Mark Walsh,Joseph Patrick O'Brien,0,153,4.5,,4.33,4.5,4.33,4.33,4.33,4.33,4.33,4.33,4,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,13,Jalila Moriviere,6,Paul Townend,W P Mullins,0,152,12,,10,12,11,11,11,11,11,11,11,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,14,Downmexicoway,6,Darragh O'Keeffe,Henry De Bromhead,0,149,23,,23,21,19,21,19,19,19,19,19,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,15,Bowensonfire,5,Danny Gilligan,Gordon Elliott,0,147,13,,9,13,11,11,11,11,11,11,11,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,16,Helvic Dream,8,Donagh Meyler,Noel Meade,0,147,23,,23,21,19,21,19,19,19,19,19,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,17,Lord Erskine,12,Patrick M O'Brien(5),H Rogers,0,147,29,,29,29,26,29,26,26,26,26,26,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,18,Royal Hollow,7,Mr A P Ryan(5),Andrew Slattery,0,147,21,,13,21,17,17,17,17,15,17,17,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,19,Addragoole,6,Conor Stone-Walsh,Gavin Cromwell,0,146,51,,51,41,34,34,34,34,34,34,34,SP
,Galway,16:30,Guinness Galway Hurdle Handicap (Grade 3),Class 1,16,159300,Good,Turf,9 hurdles,20,20,Relieved Of Duties,6,Jordan Gainford,Gordon Elliott,0,146,51,,41,51,51,51,51,51,51,51,51,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,1,Cinammon Roll,5,Jack Kennedy,Gordon Elliott,,161,6,,6,5.5,5.5,6,5.5,5.5,5.5,SP,6,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,2,Kamikaz Du Plessis,5,Jordan Gainford,Gordon Elliott,,161,17,,13,17,17,17,17,17,17,SP,17,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,3,Carrigg Island,5,Darragh O'Keeffe,Eoin Christopher McCarthy,,158,26,,26,26,26,26,26,26,26,SP,26,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,4,I Am River,6,Mark Walsh,W P Mullins,,158,4.5,,4.5,4.33,4.33,4.33,4.33,4.33,4.33,SP,4.33,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,5,Strong Link,5,Donagh Meyler,Ross O'Sullivan,,158,6.5,,6.5,6.5,6.5,6.5,6,6.5,6,SP,6.5,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,6,Sunny South West,5,Phillip Enright,Edward F Power,,158,12,,12,7,7,7,7,7,7,SP,7,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,7,Bobbysingindablues,5,Jack G Gilligan(5),Paul John Gilligan,,154,101,,101,101,101,101,101,101,101,SP,101,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,8,Cameletta Vega,6,Paul Townend,W P Mullins,,151,2.75,,2.75,2.63,2.63,2.63,2.63,2.63,2.5,SP,2.63,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,9,Keep Up,5,Sean Cleary-Farrell(7),W P Mullins,,151,9,,8,9,9,9,9,9,9,SP,9,SP
,Galway,17:05,Guinness Novice Hurdle,,20.5,12980,Good,Turf,12 hurdles,10,10,The Cheeky Pup,4,Sean Flanagan,John Joseph Hanlon,,149,151,,151,101,101,101,101,101,101,SP,101,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,1,Garrick Painter,5,Patrick McGettigan(7),Noel C Kelly,6,140,21,,15,19,21,21,15,21,19,SP,21,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,2,Lagoon Nebula,4,Luke McAteer,Andrew Kinirons,11,140,10,,10,10,10,10,10,10,10,SP,9.5,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,3,Positive Energy,4,Ronan Whelan,M D O'Callaghan,12,140,6.5,,6.5,5.5,5.5,5.5,5.5,5.5,5.5,SP,5,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,4,Victoria Kesia,4,Ben Coen,Joseph G Murphy,17,140,12,,12,11,10,11,10,10,10,SP,9.5,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,5,Astelia,6,Chris Hayes,Peter Fahey,13,139,13,,13,12,11,12,11,11,11,SP,11,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,6,Atheneum,4,Sam Coen(7),John Joseph Murphy,20,138,19,,19,19,19,19,19,19,19,SP,19,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,7,Daboya,4,Nicola Burns(7),R Donohoe,19,138,41,,41,41,41,41,41,41,41,SP,41,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,8,Lady Christa,5,James Ryan,Ciaran Murphy,2,138,34,,34,34,34,34,34,34,34,SP,34,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,9,Narlita,6,Adam Caffrey,H Rogers,9,138,15,,15,13,13,13,13,13,13,SP,13,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,10,Zariygann,5,Keithen Kennedy(5),Martin Brassil,10,138,21,,19,21,21,21,21,21,21,SP,21,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,11,Dream Escape,6,Jack Kearney(3),Thomas Mullins,1,136,51,,51,51,51,51,51,51,51,SP,51,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,12,Quiz Test,5,Scott McCullagh,Sean Byrne,15,136,13,,13,10,10,10,10,10,10,SP,9.5,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,13,Dreamed To Dream,3,Leigh Roche,Miss Natalia Lupini,4,128,34,,34,29,34,34,21,34,34,SP,34,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,14,Eagles Dream,3,Nathan Crosse,John Joseph Murphy,16,128,41,,17,41,41,41,41,41,41,SP,41,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,15,Brandon Creek,3,Jack Cleary(5),Gerard O'Leary,5,127,29,,29,26,26,26,26,26,26,SP,26,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,16,Georg Zhukov,3,Robert Whearty(3),Noel Meade,3,126,19,,19,17,17,17,17,17,17,SP,17,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,17,Glenroyal,3,Dylan Browne McMonagle,Joseph Patrick O'Brien,8,125,2.63,,2.63,2.63,2.63,2.63,2.63,2.63,2.5,SP,2.63,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,18,Enziya,3,Seamie Heffernan,R P Cody,7,124,12,,12,10,10,10,10,10,10,SP,9.5,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,R19,Hasten Slowly,5,,John C McConnell,21,135,34,,23,34,34,34,34,34,34,SP,SP,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,R20,Tassarolo,4,J M Sheridan,Denis Gerard Hogan,18,135,11,,11,11,11,11,11,11,11,SP,SP,SP
,Galway,17:40,Guinness 0.0 Handicap,,12,10030,Soft,Turf,,21,R21,Zuzukel,5,,A J Martin,14,135,19,,19,19,19,19,19,19,19,SP,SP,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,1,Apache Tribe,5,Mr O McGill(5),Noel C Kelly,,168,26,,19,21,21,23,17,21,21,SP,26,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,2,Ballyredinkingston,5,Ms H Phillips(7),Miss Elizabeth Anne Lalor,,168,101,,67,101,101,101,101,101,101,SP,101,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,3,Bold Rhyme,5,Ms E R McNeill(7),D M Christie,,168,101,,81,101,101,101,101,101,101,SP,101,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,4,Frankie John,5,Mr H C Swan,Denis Gerard Hogan,,168,15,,15,10,10,11,10,10,10,SP,11,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,5,Garahon,5,Mr J L Gleeson,Emmet Mullins,,168,5,,5,4.5,4.5,4.5,4.5,4.5,4.5,SP,5,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,6,Hawk's Rock,5,Mr Finian Maguire,R P Cody,,168,34,,34,29,29,34,29,29,29,SP,34,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,7,Kashchei,5,Mr D L Queally,Declan Queally,,168,13,,13,12,12,13,12,12,12,SP,13,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,8,Mister O Reilly,9,Mr P W Gleeson(7),Patrick J F Hassett,,168,201,,151,201,201,201,201,201,201,SP,201,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,9,Parnell Street,5,Mr A P Ryan(5),Andrew Slattery,,168,3.5,,3.5,3.25,3.25,3.25,3.25,3.25,3.13,SP,3.5,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,10,Paymelater,6,Mr N Gault(7),S Michael Millar,,168,151,,67,151,151,151,151,151,151,SP,151,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,11,Poetic Glory,5,Mr D G Lavery,Emmet Mullins,,168,15,,15,13,13,15,13,13,13,SP,15,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,12,Red Oak,5,Mr Alan O'Sullivan(7),Ciaran Murphy,,168,151,,101,151,151,151,151,151,151,SP,151,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,13,Ring Of Kerry,5,Mr B O'Neill,Cian Collins,,168,21,,19,19,19,19,19,19,19,SP,21,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,14,Something Simple,5,Mr J H Williamson(7),John Joseph Hanlon,,168,34,,34,29,29,34,29,29,29,SP,34,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,15,Wartime Leader,5,Mr P W Mullins,W P Mullins,,168,2.88,,2.88,2.1,2.1,2.2,2.1,2.1,2.1,SP,2.2,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,16,Welonlyhavedone,5,Mr Derek O'Connor,Gavin Cromwell,,168,8.5,,8.5,7.5,7.5,8,7.5,7.5,7.5,SP,8,SP
,Galway,18:10,Guinness Time INH Flat Race,,18,10030,Good,Turf,,17,17,Expresso Tini,7,Mr D Doyle(7),M A Molloy,,161,51,,26,51,51,51,51,51,51,SP,51,SP
