No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Jumps,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,,,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,Unibet,Bet Goodwin,Bet Victor,10 Bet
,Goodwood,14:30,HKJC World Pool Gordon Stakes (Group 3),Class 1,12,"£113,420",Good,Turf,,7,6,Wimbledon Hawkeye,3,Sean D Bowen,James Owen,2,129,11,,10,11,9.5,9.5,9,9.5,10,9.5,9.5,SP
,Goodwood,14:30,HKJC World Pool Gordon Stakes (Group 3),Class 1,12,"£113,420",Good,Turf,,7,7,Windlord,3,Oisin Murphy,Andrew Balding,1,129,9,,9,9,9,9,9,9,9,9,8,SP
,Goodwood,15:05,Qatar Nassau Stakes (Group 1) (Fillies & Mares),Class 1,10,"£340,260",Good,Turf,,5,1,Running Lion,5,William Buick,John & Thady Gosden,1,135,26,,26,26,26,26,26,26,26,26,26,SP
,Goodwood,15:05,Qatar Nassau Stakes (Group 1) (Fillies & Mares),Class 1,10,"£340,260",Good,Turf,,5,2,See The Fire,4,Oisin Murphy,Andrew Balding,2,135,3.5,,3.25,3.5,3.25,3.25,3.25,3.25,3.25,3.25,3.25,SP
,Goodwood,15:05,Qatar Nassau Stakes (Group 1) (Fillies & Mares),Class 1,10,"£340,260",Good,Turf,,5,3,Bedtime Story,3,Wayne Lordan,A P O'Brien,3,126,6.5,,6.5,5.5,5.5,5.5,5.5,5.5,5.5,5.5,5,SP
,Goodwood,15:05,Qatar Nassau Stakes (Group 1) (Fillies & Mares),Class 1,10,"£340,260",Good,Turf,,5,4,Cercene,3,Gary Carroll,Joseph G Murphy,5,126,10,,9,9.5,9,9,9,9,9.5,9.5,10,SP
,Goodwood,15:05,Qatar Nassau Stakes (Group 1) (Fillies & Mares),Class 1,10,"£340,260",Good,Turf,,5,5,Whirl,3,Ryan Moore,A P O'Brien,4,126,2.1,,2,2.1,2.1,2.1,2,2.1,2,2,2,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,1,Dyonisos,3,Billy Loughnane,Ian Williams,1,135,15,,15,15,13,13,13,13,13,13,13,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,2,The Man,3,David Egan,Richard Spencer,9,132,10,,10,10,9,9.5,9,9,9.5,9.5,9.5,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,3,Ruby's Profit,3,Kieran Shoemark,Dr Richard Newland & Jamie Insole,8,132,7.5,,7.5,7,6.5,6.5,6.5,6.5,6.5,6.5,6.5,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,4,Getreadytorumble,3,Tom Marquand,Jack Channon,11,130,8.5,,8.5,8.5,8,8.5,8.5,8,8.5,8.5,8.5,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,5,Nad Alshiba Green,3,Rossa Ryan,Michael Appleby,5,129,7.5,,7.5,7,7,7,7,7,7,7,7,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,6,Marty Hopkirk,3,Oisin Murphy,David Loughnane,3,129,9.5,,8.5,9.5,9,8.5,8,9,8.5,8.5,9,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,7,Dan Tucker,3,Jack Garritty,Jedd O'Keeffe,13,128,9,,8.5,9,8.5,8.5,8,8.5,8.5,8.5,8,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,8,Brosay,3,David Probert,Paul Attwater,14,127,13,,13,12,12,12,12,12,12,12,12,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,9,Kinetic Force,3,P J McDonald,D Donovan,2,126,12,,11,12,11,11,11,11,11,11,12,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,10,Fluorescence,3,Callum Rodriguez,Edward Bethell,4,126,13,,13,13,12,13,13,12,12,13,13,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,11,Naana's Sparkle,3,Rowan Scott,Alice Haynes,6,123,17,,15,17,17,15,17,17,17,17,17,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,12,Hi Lord,3,Joe Fanning,Keiran Burke,10,119,34,,34,34,34,29,34,34,34,34,34,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,13,Winchurch,3,Frederick Larson,Michael Appleby,7,118,51,,34,41,41,41,51,41,41,41,51,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,14,Wheels Of Fire,3,Sam Hitchcott,Richard Hannon,12,118,12,,12,10,10,10,10,10,10,10,9.5,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,15,Star Chorus,3,Silvestre De Sousa,Andrew Balding,15,116,21,,19,21,19,19,19,19,19,19,21,SP
,Goodwood,15:45,Buccellati Handicap,Class 3,5,"£25,770",Good,Turf,,16,16,Speed Of Maajid,3,Hollie Doyle,Robert Cowell,16,114,41,,34,41,41,34,41,41,41,41,41,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,1,American Gulf,2,Tom Marquand,Oliver Cole,9,135,7.5,,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,7.5,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,2,Hey Tru Blue,2,Billy Loughnane,George Boughey,11,131,8,,7.5,8,7.5,7.5,7.5,7.5,7.5,7.5,7.5,SP
,Goodwood,16:20,Phase Eight Nursery Handicap,Class 2,7,"£30,924",Good,Turf,,11,3,Victorious One,2,Rossa Ryan,Ralph Beckett,6,130,5.5,,5.5,5,5,5,5,5,5,5,5,SP
