No. Race / Course,Course,Time,Race Name,Class,Distance (f),Prize,Going,Surface,Silk,Runner Count,Number,Horse,Age,Jockey,Trainer,Draw,Weight,ORI,Best,Bet365,William Hill,Coral,Betfred,Boyle Sports,Ladbrokes,,,RESULT,SP odd,,Form,#N/A,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Deauville,18:02,Barriere Prix de Meautry (Group 3) (3yo+) (Straight Course) (Turf),Class 1,6,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/5/3/2/191235.svg,7,4,Balmoral Lady,4,Christophe Soumillon,Ed Walker,5,125,N/A,,,,,,,,2-3199,,,,,,,,Joanna Mason,4,13:30 | Beverley | Time Tells All,14:05 | Beverley | First Instinct,15:07 | Beverley | Harswell River,16:17 | Beverley | Atomic Mass,,,,,,,,Richard Fahey,8,13:30 | Beverley | Glistening Nights,15:07 | Beverley | Supreme Dancer,16:17 | Beverley | Emperor's Son,16:55 | Beverley | Sailthisshipalone,15:15 | Chester | Golden Mind,16:25 | Chester | Bonnie's Boy,17:00 | Chester | Uncle Don,17:00 | Chester | Prince Of Pillo,,,
,Deauville,18:02,Barriere Prix de Meautry (Group 3) (3yo+) (Straight Course) (Turf),Class 1,6,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/5/8/6/184685.svg,7,5,Rosy Affair,4,Billy Loughnane,George Boughey,2,125,N/A,,,,,,,,2-3441,,,,,,,,Oisin Orr,4,13:30 | Beverley | Distinction,14:05 | Beverley | Redorange,14:35 | Beverley | If I Could Dream,15:07 | Beverley | Supreme Dancer,,,,,,,,Mark Walford,1,13:30 | Beverley | Spioradalta,,,,,,,,,,
,Deauville,18:02,Barriere Prix de Meautry (Group 3) (3yo+) (Straight Course) (Turf),Class 1,6,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/4/3/9/59934.svg,7,6,Cacofonix,3,Maxime Guyon,Y Barberot,1,125,N/A,,,,,,,,3-2151,,,,,,,,Cam Hardie,3,13:30 | Beverley | Precious Spartan,14:05 | Beverley | Elegant Erin,15:07 | Beverley | Bestfootleads,,,,,,,,,Saeed bin Suroor,1,13:30 | Beverley | Desert Shadow,,,,,,,,,,
,Deauville,18:02,Barriere Prix de Meautry (Group 3) (3yo+) (Straight Course) (Turf),Class 1,6,"£30,248",Soft,Turf,https://www.rp-assets.com/svg/5/2/2/344225.svg,7,7,Daylight,3,Mickael Barzalona,P Cottier,4,121,N/A,,,,,,,,2-3762,,,,,,,,Alistair Rawlinson,2,14:05 | Beverley | Habooba,15:42 | Beverley | High On Hope,,,,,,,,,,Declan Carroll,4,13:30 | Beverley | Time Tells All,16:17 | Beverley | Fortunate Star,16:25 | Chester | Solid Bond,17:35 | Chester | Ruler Legend,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/5/6/6/295665.svg,10,1,Financer,4,David Allan,Tim Easterby,5,140,11,5,4.5,5,5,5,5,5,352562,,5,5.5,,,,,Mark Winn,3,14:05 | Beverley | Star Of Lady M,15:07 | Beverley | Willowinghurn,16:17 | Beverley | Yazaman,,,,,,,,,John Mackie,1,13:30 | Beverley | Distinction,,,,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/7/1/2/340217.svg,10,2,Titian,7,Tom Kiely-Marshall(5),Julie Camacho,7,138,17,10,10,10,10,10,10,10,44-414,,6,12,,,,,Sean Kirrane,2,14:35 | Beverley | Adiada,16:17 | Beverley | King's Crown,,,,,,,,,,Patrick Neville,1,13:30 | Beverley | Precious Spartan,,,,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/8/1/4/328418.svg,10,3,Dawn Of Liberation,6,James Sullivan,Ruth Carr,10,137,19,23,23,23,21,23,23,21,972233,,7,29,,,,,Rowan Scott,3,14:35 | Beverley | Miss Lady Grace,15:07 | Beverley | Baldosa,16:17 | Beverley | Harb,,,,,,,,,Robert Cowell,1,14:05 | Beverley | Clarendon House,,,,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/b/5/0/335305b.svg,10,4,Crown Of Oaks,3,Callum Rodriguez,William Haggas,1,135,1.91,,,,,,,,3-331,,,,,,,,Owen Lewis,1,15:07 | Beverley | Lady Britain,,,,,,,,,,,Clive Cox,3,14:05 | Beverley | Kerdos,14:05 | Beverley | Redorange,15:35 | Sandown | A Bit Of Spirit,,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/1/6/7/110761.svg,10,5,Glistening Nights,4,Barry McHugh,Richard Fahey,8,133,13,10,10,9.5,9.5,9.5,9.5,9.5,695412,,3,10,,,,,Harrison Shaw,1,15:07 | Beverley | London,,,,,,,,,,,Edward Bethell,1,14:05 | Beverley | Regional,,,,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/5/3/0/337035.svg,10,6,Spioradalta,5,Paul Mulrennan,Mark Walford,3,130,13,5.5,5.5,5.5,5.5,5.5,5.5,5.5,416331,,1,7,,,,,Kaiya Fraser,1,15:42 | Beverley | Jazzit,,,,,,,,,,,Michael Appleby,6,14:05 | Beverley | Shagraan,15:42 | Beverley | High On Hope,19:10 | Chelmsford (AW) | Dandy's Rocket,18:25 | Lingfield (AW) | Latona,13:50 | Sandown | Kodi Lion,17:20 | Sandown | King Of Stars,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/5/4/8/49845.svg,10,7,Desert Shadow,3,Kevin Stott,Saeed bin Suroor,2,130,8,4.5,4.5,4.33,4.5,4.5,4.5,4.5,572392,,2,4,,,,,Ben Sanderson,1,15:42 | Beverley | Symphony Of Joy,,,,,,,,,,,Paul Midgley,3,14:05 | Beverley | Elegant Erin,16:17 | Beverley | Rock Of England,16:17 | Beverley | Yazaman,,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/4/5/8/333854.svg,10,8,Time Tells All,5,Joanna Mason,Declan Carroll,6,129,15,4.33,4.33,4.33,4.33,4.33,4.33,4.33,541313,,8,3.5,,,,,Conor Orr,1,16:17 | Beverley | Emperor's Son,,,,,,,,,,,T J Kent,2,14:05 | Beverley | Habooba,19:25 | Lingfield (AW) | Obsidian Knight,,,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/7/6/7/296767.svg,10,9,Distinction,7,Oisin Orr,John Mackie,4,128,19,21,21,21,19,21,21,19,214011,,4,21,,,,,Alex Jary,2,16:17 | Beverley | Sergeant Mayer,16:55 | Beverley | Kit Gabriel,,,,,,,,,,David O'Meara,4,14:05 | Beverley | Star Of Lady M,15:07 | Beverley | Willowinghurn,16:25 | Chester | Ziggy's Triton,16:45 | Sandown | Lucky Hero,,,,,,,
,Beverley,13:30,William Hill Silver Cup Handicap,Class 4,10,"£16,042",Good To Firm,Turf,https://www.rp-assets.com/svg/9/3/6/316639.svg,10,10,Precious Spartan,3,Cam Hardie,Patrick Neville,9,118,34,101,101,81,67,81,81,67,811614,,9,81,,,,,Tom Eaves,1,16:17 | Beverley | Cape Sovereign,,,,,,,,,,,Simon & Ed Crisford,3,14:05 | Beverley | Adrestia,17:40 | Chelmsford (AW) | Astral Sea,19:10 | Chelmsford (AW) | Riffa Spirit,,,,,,,,
,Beverley,14:05,William Hill Beverley Bullet Sprint Stakes (Listed Race),Class 1,5,"£39,697",Good To Firm,Turf,https://www.rp-assets.com/svg/4/6/1/60164.svg,10,NR,Clarendon House,7,NON-RUNNER,Robert Cowell,10,133,N/A,,,,,,,,13RR0R,,,,,,,,Harry Smith,1,16:17 | Beverley | Fortunate Star,,,,,,,,,,,Michael Dods,4,14:35 | Beverley | Adiada,16:17 | Beverley | King's Crown,13:50 | Sandown | Glenfinnan,17:20 | Sandown | Emeralds Pride,,,,,,,
,Beverley,14:05,William Hill Beverley Bullet Sprint Stakes (Listed Race),Class 1,5,"£39,697",Good To Firm,Turf,https://www.rp-assets.com/svg/1/2/9/296921.svg,10,2,Kerdos,5,Paul Mulrennan,Clive Cox,7,130,7.5,9,9,9,8.5,9,9,8.5,-75580,,4,12,,,,,Andrew Mullen,1,16:17 | Beverley | Wrestling Revenue,,,,,,,,,,,George Scott,5,14:35 | Beverley | If I Could Dream,14:35 | Beverley | Love Love Love,14:40 | Chester | Prydwen,17:25 | Lingfield (AW) | Jack The Tooth,17:20 | Sandown | Moulin Booj,,,,,,
,Beverley,14:05,William Hill Beverley Bullet Sprint Stakes (Listed Race),Class 1,5,"£39,697",Good To Firm,Turf,https://www.rp-assets.com/svg/0/0/6/307600.svg,10,3,Regional,7,Callum Rodriguez,Edward Bethell,3,130,2.5,3,2.88,2.88,2.88,3,3,2.88,4-3334,,9,2.88,,,,,Archie Young,1,16:55 | Beverley | Urban Sprawl,,,,,,,,,,,Alice Haynes,1,14:35 | Beverley | Miss Lady Grace,,,,,,,,,,
,Beverley,14:05,William Hill Beverley Bullet Sprint Stakes (Listed Race),Class 1,5,"£39,697",Good To Firm,Turf,https://www.rp-assets.com/svg/0/4/7/346740.svg,10,4,Shagraan,4,Kevin Stott,Michael Appleby,5,130,19,8.5,8.5,8.5,8.5,8.5,8.5,8.5,343384,,1,8.5,,,,,Elizabeth Gale,1,16:55 | Beverley | Great Blasket,,,,,,,,,,,Ismail Mohammed,1,15:07 | Beverley | Lady Britain,,,,,,,,,,
,Beverley,14:05,William Hill Beverley Bullet Sprint Stakes (Listed Race),Class 1,5,"£39,697",Good To Firm,Turf,https://www.rp-assets.com/svg/6/6/4/248466.svg,10,5,Redorange,3,Oisin Orr,Clive Cox,8,128,6.5,10,10,9,9,9.5,9,9,313432,,8,11,,,,,Ethan Tindall,1,16:55 | Beverley | Sailthisshipalone,,,,,,,,,,,K R Burke,5,15:07 | Beverley | Dunkeld Dreamer,15:50 | Chester | No Direction,14:25 | Sandown | Bright Thunder,14:25 | Sandown | Molten Rock,16:10 | Sandown | Thankfully,,,,,,
